BG Team Mate (drop down),Placement x BG Active Doctor (list relationship),Start Date,Due Date,Margin Per Unit (currency),Total Estimated Units  (number),Total Placement Estimated Margin $ (formula),Pay Inc Super (per unit) (currency),Pay Exc Super (per unit) (currency),Site Name (short text)
Phoebe Holden,[86czb624e],"Monday, February 2nd 2026","Sunday, August 30th 2026",85.71,118,10113.780000000000,714.29,0,Elite Hair Clinic Sydney
Phoebe Holden,[86d04q6g2],"Monday, March 16th 2026","Thursday, April 30th 2026",18,280,5040,120,,Alice Springs Hospital
Phoebe Holden,[86d13xc5h],"Saturday, April 11th 2026","Monday, May 11th 2026",12,70,840,,100,Wyong Hospital
Phoebe Holden,[86czb7dy6],"Tuesday, April 21st 2026","Thursday, May 7th 2026",22.3,120,2676,148.62,0,St John of God Midland Public and Private Hosp
Phoebe Holden,[86czb79p5],"Wednesday, April 22nd 2026","Thursday, April 30th 2026",21.6,48,1036.8000000000000,180,0,Bega Hospital
Phoebe Holden,[86czb601z],"Monday, April 27th 2026","Friday, May 1st 2026",21.25,50,1062.5,125,,Lake Macquarie Private Hospital
Phoebe Holden,[86czx3zy4],"Monday, April 27th 2026","Sunday, May 3rd 2026",23.4,70,1638,180,,Grampians Health Horsham
Phoebe Holden,[86czb6tut],"Monday, April 27th 2026","Thursday, April 30th 2026",24,40,960,0,200,Moruya Hospital
Phoebe Holden,[86d12t5aa],"Wednesday, April 29th 2026","Saturday, May 2nd 2026",12,370,4440,0,100,Wyong Hospital
Phoebe Holden,[86czb6axz],"Sunday, May 3rd 2026","Monday, May 4th 2026",21.6,30,648,0,180,Moruya Hospital
Phoebe Holden,[86d0c8994],"Sunday, May 3rd 2026","Tuesday, May 5th 2026",21.6,20,432,0,180,Tamworth Hospital
Phoebe Holden,[86d0f1q83],"Sunday, May 3rd 2026","Tuesday, May 5th 2026",13.8,30,414,0,100,Byron Central Hospital
Phoebe Holden,[86d172x7q],"Monday, May 4th 2026","Sunday, August 2nd 2026",13.65,494,6743.1,105,0,St Vincent's Private Hospital Fitzroy
Phoebe Holden,[86czb6tut],"Monday, May 4th 2026","Sunday, May 10th 2026",38.5,70,2695,220,0,Care 24/7 - Calvary Lenah Valley Hospital Emergency (Hobart)
Phoebe Holden,[86czb79p5],"Monday, May 4th 2026","Sunday, May 10th 2026",24,70,1680,224,200,Moruya Hospital
Phoebe Holden,[86czb6cu6],"Monday, May 4th 2026","Friday, May 8th 2026",18,38,684,120,107.14,Northern Beaches Hospital
Phoebe Holden,[86czb77qd],"Monday, May 4th 2026","Thursday, May 7th 2026",18,40,720,0,180,Orange Base Hospital
Phoebe Holden,[86czb7e0e],"Monday, May 4th 2026","Thursday, May 7th 2026",19.2,40,768,0,160,Orange Base Hospital
Phoebe Holden,[86d0akrmn],"Monday, May 4th 2026","Monday, June 1st 2026",27.56,160,4409.600000000000,180.12,0,North Canberra Hospital
Phoebe Holden,[86czb75bk],"Monday, May 4th 2026","Monday, May 11th 2026",18,90,1620,0,150,Griffith Base Hospital
Phoebe Holden,[86czb601z],"Monday, May 4th 2026","Thursday, May 21st 2026",18,120,2160,0,150,Auburn Hospital
Phoebe Holden,[86czb6tut],"Monday, May 4th 2026","Sunday, May 10th 2026",38.5,70,2695,220,,Care 24/7 - Calvary Lenah Valley Hospital Emergency (Hobart)
Phoebe Holden,[86czb6axz],"Tuesday, May 5th 2026","Friday, May 8th 2026",19.2,30,576,0,160,Orange Base Hospital
Phoebe Holden,[86d0akmze],"Wednesday, May 6th 2026","Monday, June 1st 2026",27.56,160,4409.600000000000,180.12,0,North Canberra Hospital
Phoebe Holden,[86d26g1qx],"Wednesday, May 6th 2026","Friday, May 22nd 2026",30.98,110,3407.8,177.02,158.05,North Canberra Hospital
Phoebe Holden,[86d0f1q83],"Thursday, May 7th 2026","Friday, May 8th 2026",15.6,20,312,0,130,Ballina District Hospital
Phoebe Holden,[86d17f59v],"Thursday, May 7th 2026","Friday, May 8th 2026",25.5,20,510,190.4,170,Concord Repatriation General Hospital
Phoebe Holden,[86cztdrw3],"Saturday, May 9th 2026","Saturday, May 9th 2026",35,10,350,200,0,Sydney Adventist Hospital
Phoebe Holden,[86czb6axz],"Saturday, May 9th 2026","Sunday, May 10th 2026",21.6,20,432,0,180,Batemans Bay
Phoebe Holden,[86czb7e0e],"Saturday, May 9th 2026","Monday, May 11th 2026",21.6,30,648,180,180,Manning Hospital
Phoebe Holden,[86d19mdk7],"Sunday, May 10th 2026","Sunday, May 10th 2026",28,8,224,160,0,Sydney Adventist Hospital
Phoebe Holden,[86d0tqrw6],"Monday, May 11th 2026","Sunday, August 2nd 2026",24,480,11520,160,0,Royal Darwin Hospital
Phoebe Holden,[86d0f0p94],"Monday, May 11th 2026","Tuesday, May 12th 2026",15.6,20,312,0,130,Casino & District Memorial Hospital
Phoebe Holden,[86d0f1q83],"Tuesday, May 12th 2026","Wednesday, May 13th 2026",15.6,20,312,0,130,Ballina District Hospital
Phoebe Holden,[86d0c8994],"Thursday, May 14th 2026","Wednesday, May 20th 2026",21.6,40,864,0,180,Tamworth Hospital
Phoebe Holden,[86czuzh0f],"Friday, May 15th 2026","Saturday, May 16th 2026",35,20,700,200,178.57,Sydney Adventist Hospital
Phoebe Holden,[86d0f0p94],"Friday, May 15th 2026","Monday, May 18th 2026",15.6,32,499.2,145.6,130,Grafton Base Hospital
Phoebe Holden,[86czb6axz],"Friday, May 15th 2026","Sunday, May 17th 2026",21.6,30,648,0,180,Batemans Bay
Phoebe Holden,[86czb7e0e],"Friday, May 15th 2026","Sunday, May 17th 2026",27.56,30,826.8,180.12,0,North Canberra Hospital
Phoebe Holden,[86d0f1q83],"Sunday, May 17th 2026","Thursday, May 21st 2026",15.6,20,312,0,130,Ballina District Hospital
Phoebe Holden,[86czb6axz],"Monday, May 18th 2026","Wednesday, May 20th 2026",19.2,30,576,0,160,Orange Base Hospital
Phoebe Holden,[86czb6fxr],"Monday, May 18th 2026","Sunday, May 24th 2026",18,70,1260,,150,Griffith Base Hospital
Phoebe Holden,[86cztdrw3],"Wednesday, May 20th 2026","Wednesday, May 20th 2026",28,8,224,160,142.86,Sydney Adventist Hospital
Phoebe Holden,[86czb7e0e],"Thursday, May 21st 2026","Sunday, May 24th 2026",19.2,40,768,0,160,Orange Base Hospital
Phoebe Holden,[86czb6axz],"Friday, May 22nd 2026","Sunday, May 31st 2026",21.6,90,1944.0000000000000,0,180,Batemans Bay
Phoebe Holden,[86d0f0p94],"Saturday, May 23rd 2026","Monday, May 25th 2026",15.6,32,499.2,145.6,130,Grafton Base Hospital
Phoebe Holden,[86czb77qd],"Sunday, May 24th 2026","Tuesday, May 26th 2026",16,30,480,0,160,Orange Base Hospital
Phoebe Holden,[86czjye2q],"Monday, May 25th 2026","Thursday, May 28th 2026",28,30,840,160,142.86,Sydney Adventist Hospital
Phoebe Holden,[86czb6tut],"Monday, May 25th 2026","Thursday, May 28th 2026",21.6,32,691.2,0,180,Cooma Hospital
